Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Bosnia and Herzegovina,-1.378157769,1.167935713,-0.96419186,0.4731733,1.403159817,0.810914681,1.817434967,1.020995415,-0.162938109,0.748130957,-0.302266499,-0.036455792,-0.831973804,0.277068362,-0.543249602,0.329239774,-0.776369192,-0.347873804,0.278529475,0.413933169,-0.583004781,0.213178516,0.23400007,-0.145417128,-0.246873366,0.141734183,0.097538387,0.144962284,-0.034623869,0.026173183
Botswana,1.952830023,-1.031281233,-2.117315526,-0.33883368,0.435818724,-0.590585258,-1.166794793,-0.202256629,-0.265956532,0.325014132,-0.502322071,-0.160707813,-0.581322868,-0.360393603,-0.300851789,-0.417692886,-0.086706678,-0.625299326,0.039600396,0.082251056,-0.210932954,-0.079767662,0.327017693,-0.155960471,-0.246165769,-0.084804386,-0.531446672,0.092542586,0.017370661,0.022700743
Brazil,-2.655790637,0.912365968,1.961609439,-0.996807437,0.032153266,-1.045453739,-1.796035354,-1.062717249,0.579960905,-0.035949383,-0.224258559,0.369335133,-0.928882901,0.88003342,0.0407127,-0.183778995,0.011538824,0.04063231,0.00672279,0.329042053,-0.202502056,-0.023911737,-0.531212631,-0.369626565,0.139554612,0.051797398,0.126689595,0.009970752,-0.071021101,-0.018383626
Burkina Faso,7.058849803,-1.445467998,0.780978868,1.446887894,-0.214326015,-1.288227135,0.471588826,0.975346843,1.026087446,-0.826443493,-0.6016452,-0.578865217,-0.611128292,-0.297960462,0.314675707,-0.044261384,0.512319145,-0.450927204,0.080760951,0.618672708,0.019382199,-0.50897409,-0.059089067,-0.021772633,0.73406473,0.179176795,-0.368233533,0.128761942,-0.007622391,0.064194332
Burundi,6.435735788,-1.134766859,0.39373776,1.001867091,-0.371236565,-1.573463059,0.784635348,0.637467942,0.531136992,1.666252,-0.67278977,0.003216296,-0.164304874,-0.103389999,-1.41167769,0.196040061,0.558325227,0.335681916,-0.340689111,-0.933772033,0.222426071,0.512649326,-0.029017997,0.317178872,-0.29513979,0.474901338,0.081164946,0.020762391,0.012894249,-0.070277034
Cambodia,1.99755544,1.641329824,-0.063185342,-1.570790229,1.135321316,0.346137204,-0.733289479,1.348756506,-0.4849462,-0.212958443,0.422711932,-0.251339373,-0.546769738,0.428632831,0.292688579,-0.062853136,0.306969653,-0.493042813,0.000519331,-0.645920662,0.039822557,-0.221052872,0.037151099,0.215953281,0.096813553,-0.061545903,-0.029370604,-0.056330164,-0.00399795,-0.007927506
Cameroon,6.913705677,0.163386932,1.252941028,-0.099592336,0.022304732,-1.026448398,-0.310385594,0.393359239,-0.430703325,0.371563743,-0.268494315,0.364081184,0.168487314,0.420332654,-0.186466581,-0.264719207,0.204820742,-0.271506012,0.181233904,0.220265514,-0.14140255,-0.524125658,0.208840566,0.370614616,0.054031796,0.040859433,-0.017024819,0.028562877,-0.015662143,-0.014553182
Canada,-4.288207818,-1.943570828,0.563169367,0.392130145,-1.136179179,0.569539457,-0.470672069,-0.173661286,-0.149347106,-0.048729607,0.110896918,-0.768728004,0.237969901,0.081765503,-0.08628381,-0.087112392,0.17561648,0.290851052,-0.210661293,-0.241481015,-0.004555371,-0.21317417,0.261931106,-0.083083635,0.043226742,-0.291577511,0.081011504,-0.118191031,-0.052337735,-0.012307547
Chad,11.38589255,-0.580655036,2.598100431,2.390248989,-0.080956488,0.216619124,0.820383123,-1.160742118,-1.821907854,-0.116427707,-0.734930785,1.52665163,0.976190537,1.001478506,-0.75047159,-0.151292302,-0.557830869,0.23008121,1.002619235,0.114663409,0.369041937,-0.024042493,0.128584207,-0.266064026,0.09560429,-0.101035286,0.213940099,0.088859155,-0.020909578,-0.020573374
Chile,-4.050759739,0.424795914,0.801076808,0.900840435,0.786291696,0.655334055,-0.858156699,-0.66852255,0.921019981,-0.449962465,-0.616737851,0.746276966,-1.774625827,-0.30949997,-0.794094855,0.198947376,-0.388174452,0.271181416,0.315083226,0.254478671,0.115070772,-0.122037601,-0.144101963,0.312387018,-0.050229265,0.167479367,-0.036315258,-0.00441964,-0.007333856,0.022149365
